ID,HR,rMSSD,pNN50,SDNN,HF,LF,LFHF,Time
9_83_21_3,87.93641601,31.55982856,13.79310345,44.65825137,227.9361949,323.982103,1.421371903,118.9858326
9_62_11_0,87.90416125,29.78234549,5.813953488,54.42797269,148.0594653,704.6247701,4.759066019,118.6997128
10_5_50_1,87.85901953,38.34103371,17.26190476,48.10710691,256.6893122,631.5749758,2.460464639,118.6289779
9_66_21_7,87.79609816,23.84579068,6.395348837,39.41084501,117.6543652,153.4481026,1.304227874,118.933682
9_85_21_1,87.77215905,17.0389291,0.574712644,26.14310046,49.39158235,30.88873593,0.625384619,118.6563393
9_97_11_0,87.76062081,18.09871724,0.574712644,28.91083698,50.88776692,136.7618201,2.6875186,118.8278172
9_85_21_0,87.73910386,18.21428186,3.012048193,20.02075142,59.51732375,60.02499557,1.008529816,118.736832
9_64_21_6,87.69900926,41.18511937,20.39473684,54.03720196,152.6601094,651.8153026,4.269715941,119.103901
9_63_21_3,87.68828715,24.37488397,4.022988506,30.80972745,109.1585383,94.69373095,0.867488082,118.8678792
9_85_11_1,87.6770236,16.57150899,0.574712644,22.4743989,44.42813022,25.29206476,0.569280423,118.9579226
9_97_21_5,87.66549101,23.21353201,5.172413793,31.43044217,120.7945996,237.3776852,1.965134915,118.889659
10_104_47_0,87.51441399,24.03514087,3.550295858,45.4759211,118.3493142,44.35400556,0.374771969,118.8215141
9_45_11_0,87.51401733,84.41826803,56.83453237,66.4780217,669.1820218,185.3738865,0.277015641,118.3233242
9_49_21_3,87.48102299,31.48175246,16.27906977,39.23902804,135.4886753,469.0743836,3.46209292,119.0447482
10_49_47_1,87.48025932,34.60157878,18.35443038,48.2190368,176.2644602,198.9033155,1.128436869,118.9973176
9_97_21_1,87.47864567,19.10477718,1.744186047,22.48326651,60.47574237,82.94007112,1.371460157,118.8091582
10_83_50_3,87.39597427,67.63526841,18,81.378162,259.2470749,348.0363448,1.342488994,118.5670988
9_63_21_4,87.35709742,21.29047982,4.069767442,26.20031936,48.03786562,122.1719992,2.543243702,118.8980665
10_45_47_1,87.3559801,27.52906013,7.575757576,62.89382316,52.58355775,184.4179008,3.507140039,118.9874143
