0,1,2,3,No-step
0.39027615207025024,0.6097238479297498,21.0,11.0,45_11_0
0.2648588426268219,0.7351411573731783,21.0,11.0,49_11_0
0.2451659454792222,0.7548340545207777,21.0,11.0,57_11_1
0.41853140556117496,0.5814685944388251,21.0,11.0,61_11_0
0.30100907623269535,0.6989909237673048,21.0,11.0,62_11_0
0.3201150338467579,0.679884966153242,21.0,11.0,63_11_0
0.25940381109556027,0.7405961889044398,21.0,11.0,67_11_0
0.251127539602104,0.7488724603978959,21.0,21.0,2_21_0
0.25793563474474784,0.742064365255252,21.0,21.0,3_21_4
0.3042279858076967,0.6957720141923032,21.0,21.0,4_21_0
0.26331815104683814,0.736681848953162,21.0,21.0,4_21_2
0.2705502745374917,0.7294497254625083,21.0,21.0,5_21_3
0.2671822532328058,0.7328177467671941,21.0,21.0,5_21_7
0.27988295683547704,0.7201170431645229,21.0,21.0,8_21_2
0.2658351432058783,0.7341648567941217,21.0,21.0,8_21_3
0.25204943285900266,0.7479505671409974,21.0,21.0,9_21_1
0.2581371436185028,0.7418628563814971,21.0,21.0,12_21_1
0.24654648342600868,0.7534535165739914,21.0,21.0,13_21_1
0.2635485095675745,0.7364514904324256,21.0,21.0,13_21_3
0.25477536046487775,0.7452246395351221,21.0,21.0,24_21_3
0.26122634311088677,0.7387736568891131,21.0,21.0,30_21_0
0.2649612960766474,0.7350387039233526,21.0,21.0,36_21_1
0.2874345126751687,0.7125654873248314,21.0,21.0,52_21_0
0.24462244579921555,0.7553775542007846,21.0,21.0,52_21_3
0.24100965521574186,0.7589903447842581,21.0,21.0,55_21_0
0.2813465534368906,0.7186534465631093,21.0,21.0,55_21_3
0.2655309015744213,0.7344690984255787,21.0,21.0,56_21_5
0.24091797538169818,0.759082024618302,21.0,21.0,57_21_3
0.28250460221363866,0.7174953977863611,21.0,21.0,58_21_0
0.26026731288086996,0.7397326871191299,21.0,21.0,64_21_0
0.2736279778513658,0.7263720221486342,21.0,21.0,66_21_2
0.25891813828458554,0.7410818617154146,21.0,21.0,69_21_2
0.25292677202738484,0.7470732279726151,21.0,21.0,69_21_3
0.2555694149417134,0.7444305850582866,21.0,21.0,75_21_0
0.25792901471477275,0.7420709852852274,21.0,21.0,79_21_2
0.2595161194297115,0.7404838805702887,21.0,21.0,79_21_5
0.24180678356632668,0.7581932164336733,21.0,21.0,80_21_5
0.25541444097105975,0.7445855590289402,21.0,21.0,81_21_2
0.4357168851047677,0.5642831148952324,21.0,11.0,5_11_0
0.24470576118025505,0.7552942388197451,21.0,11.0,5_11_1
0.2481482598039043,0.7518517401960956,21.0,11.0,6_11_1
0.34710028250709773,0.6528997174929023,21.0,11.0,7_11_0
0.24778332614876136,0.7522166738512385,21.0,11.0,11_11_1
0.5114026676308455,0.4885973323691546,21.0,11.0,13_11_3
0.31003370154571575,0.6899662984542844,21.0,11.0,15_11_0
0.24830392422769568,0.751696075772304,21.0,11.0,17_11_1
0.2365574667818613,0.7634425332181385,21.0,11.0,31_11_0
0.2458647461340316,0.7541352538659685,21.0,11.0,34_11_1
